Date,High,Low,Mid,Last,Bid,Ask,Volume
2021-01-22,23.2,20.788,22.19,22.17,22.167,22.213,24106.59905884
2021-01-23,23.603,22.188,22.7885,22.742,22.765,22.812,13126.07894365
2021-01-24,23.163,22.5,22.8145,22.827,22.788,22.841,5105.94112027
2021-01-25,23.035,22.373,22.47,22.437,22.441,22.499,1888.92930029
2021-01-26,22.712,21.795,22.19,22.153,22.164,22.216,6926.35883205
2021-01-27,22.149,21.234,21.418,21.396,21.392,21.444,3376.12042525
2021-01-28,22.078,21.323,21.965,21.962,21.949,21.981,998.19308388
2021-01-29,22.942,21.871,22.3115,22.377,22.283,22.34,13398.09587669
2021-01-30,22.541,22.014,22.112,22.14,22.088,22.136,3949.4125531
2021-01-31,22.606,22.06,22.094,22.159,22.066,22.122,3305.89834574
2021-02-01,24.024,22.06,22.5785,22.603,22.554,22.603,17280.54449254
2021-02-02,22.961,22.349,22.462,22.447,22.446,22.478,15232.62329484
2021-02-03,23.444,22.43,23.108,23.177,23.08,23.136,13800.05611226
2021-02-04,23.258,22.739,22.8235,22.91,22.8,22.847,1184.96729185
2021-02-05,25.602,22.869,24.715,24.666,24.68,24.75,18317.23630981
2021-02-06,25.208,23.851,24.313,24.242,24.288,24.338,9057.48596966
2021-02-07,24.592,23.705,24.0975,24.064,24.072,24.123,2024.28354575
2021-02-08,28.633,23.873,27.2215,27.298,27.175,27.268,32161.1736563
2021-02-09,51.864,27.107,42.7325,42.773,42.633,42.832,104848.76596064
2021-02-10,47.731,35.112,38.9555,38.989,38.888,39.023,105486.2038921
2021-02-11,43.7,36.903,40.6655,40.755,40.614,40.717,41606.74862176
2021-02-12,44.764,39.273,43.2365,43.064,43.179,43.294,18639.3214843
2021-02-13,47.1,39.811,41.69,41.689,41.629,41.751,31673.277887289998
2021-02-14,52.536,41.23,48.7655,48.737,48.738,48.793,49269.83284158
2021-02-15,50.454,35.974,42.445,42.461,42.352,42.538,74762.47921182
2021-02-16,45.84,40.201,42.1335,42.252,42.08,42.187,27323.30183835
2021-02-17,44.696,40.347,43.4195,43.474,43.369,43.47,27355.41890799
2021-02-18,44.414,42.533,43.3495,43.386,43.291,43.408,17174.02991349
2021-02-19,44.219,41.289,44.259,44.219,44.226,44.292,25079.103458
2021-02-20,49.103,41.91,42.6895,42.748,42.635,42.744,46556.57717566
2021-02-21,45.909,42.465,44.128,44.144,44.09,44.166,22644.85015336
2021-02-22,44.144,31.0,38.676,38.707,38.624,38.728,90245.4820662
2021-02-23,39.082,31.505,35.186,35.279,35.136,35.236,71985.21941788
2021-02-24,38.137,34.364,36.775,36.818,36.737,36.813,32074.2551129
2021-02-25,37.429,34.614,35.092,35.091,35.041,35.143,16293.21787725
2021-02-26,36.369,33.148,36.1895,36.113,36.167,36.212,29872.07952231
2021-02-27,38.689,35.606,37.9725,37.983,37.962,37.983,36819.67179958
2021-02-28,38.098,34.931,35.916,35.96,35.877,35.955,36172.05791282
2021-03-01,39.319,35.938,38.402,38.386,38.364,38.44,32612.49995577
2021-03-02,38.986,37.288,38.1095,38.157,38.065,38.154,23970.19964226
2021-03-03,44.912,38.287,41.7885,41.881,41.734,41.843,57214.05587272
2021-03-04,43.184,40.0,40.093,40.151,40.045,40.141,31838.16421328
2021-03-05,40.757,38.409,40.816,40.757,40.771,40.861,24576.33647821
2021-03-06,40.91,39.04,40.655,40.658,40.614,40.696,25887.364628710002
2021-03-08,41.877,40.648,41.412,41.608,41.38,41.444,7509.15643701
2021-03-09,42.5,41.28,42.0575,42.087,42.019,42.096,7523.68963336
2021-03-10,44.104,41.223,42.4575,42.273,42.389,42.526,15641.47180589
2021-03-11,43.105,41.689,42.2615,42.366,42.211,42.312,9660.99866719
2021-03-12,45.003,41.972,43.6935,43.845,43.633,43.754,38577.49677077
2021-03-13,52.0,43.696,49.9675,49.849,49.902,50.033,44423.72103609
2021-03-14,57.21,49.84,54.839,55.269,54.741,54.937,94357.9001571
2021-03-15,56.23,51.979,53.646,53.844,53.582,53.71,69654.84305131
2021-03-16,63.127,50.892,62.44,62.513,62.365,62.515,77831.89101191
2021-03-17,8575500000.0,61.419,94.308,94.227,94.131,94.485,193980.66973844
2021-03-18,96.371,73.021,76.8695,76.918,76.776,76.963,159123.90050907
2021-03-19,85.849,75.797,82.63,82.671,82.52,82.74,40938.47203794
2021-03-20,86.021,81.492,82.112,82.257,82.016,82.208,25498.24972309
2021-03-21,83.169,80.234,81.003,81.219,80.974,81.032,15405.52250578
2021-03-22,81.502,75.446,76.593,76.435,76.5,76.686,13031.95105361
2021-03-23,85.454,73.535,82.4765,82.751,82.404,82.549,38910.21020731
2021-03-24,94.812,79.897,88.208,87.928,88.036,88.38,48560.53090853
2021-03-25,95.875,85.34,90.1745,90.2,90.091,90.258,23894.45584844
2021-03-26,123.57,90.091,123.54,123.57,123.37,123.71,37952.05813848
2021-03-27,139.48,120.46,133.81,133.44,133.52,134.1,91785.55245275
2021-03-28,133.78,120.46,126.755,127.36,126.58,126.93,61736.10673147
2021-03-29,130.07,124.27,128.095,128.02,127.92,128.27,18383.75349318
2021-03-30,153.73,124.76,149.925,149.79,149.7,150.15,48809.34654714
2021-03-31,197.04,142.2,192.955,192.88,192.74,193.17,146201.0713505
2021-04-01,237.33,181.2,192.05,192.0,191.92,192.18,137865.09526089
2021-04-02,205.44,160.98,178.0,178.25,177.8,178.2,64182.27482954
2021-04-03,180.78,162.7,174.245,174.0,174.1,174.39,31268.97224342
2021-04-04,193.2,175.36,183.91,184.0,183.82,184.0,48835.0875456
2021-04-05,186.88,171.29,177.04,177.48,176.87,177.21,17728.35853428
2021-04-06,178.83,165.0,168.325,168.35,168.21,168.44,14737.16971449
2021-04-07,167.83,135.71,153.52,152.9,153.4,153.64,77523.92190164
2021-04-08,158.72,146.33,153.78,154.27,153.66,153.9,30384.84388784
2021-04-09,175.41,153.0,173.525,173.27,173.39,173.66,52365.60299209
2021-04-10,188.8,170.8,174.625,174.7,174.5,174.75,35888.10005254
2021-04-11,184.09,172.65,180.325,178.97,180.21,180.44,14778.80019441
2021-04-12,181.78,160.0,169.585,169.54,169.34,169.83,25017.20341841
2021-04-13,170.4,160.0,166.475,166.41,166.4,166.55,16936.62211793
2021-04-14,178.82,161.13,167.83,167.49,167.74,167.92,41830.16999574
2021-04-15,175.05,164.54,171.39,171.75,171.29,171.49,9573.41609873
2021-04-16,195.44,170.32,183.655,183.94,183.52,183.79,41215.84969572
2021-04-17,192.45,176.28,183.01,183.59,182.91,183.11,16231.80883038
2021-04-18,183.21,130.38,157.6,158.21,157.42,157.78,61636.9952029
2021-04-19,164.71,150.6,156.93,156.32,156.76,157.1,19090.68613739
2021-04-20,157.92,145.21,154.03,154.35,153.87,154.19,16851.52362711
2021-04-21,158.91,148.5,148.355,148.5,148.26,148.45,8582.34854971
2021-04-22,157.52,144.06,147.825,147.94,147.76,147.89,12575.63487271
2021-04-23,147.8,130.11,136.76,137.15,136.69,136.83,13819.92256477
2021-04-24,139.37,131.61,136.535,135.81,136.45,136.62,6583.28372744
2021-04-25,137.17,132.0,133.425,133.26,133.37,133.48,1685.25457042
