Date,High,Low,Mid,Last,Bid,Ask,Volume
2016-11-22,0.866,0.8466,0.8477,0.8496,0.8459,0.8495,38366.44125054
2016-11-23,0.86529,0.8302,0.83215,0.8302,0.8302,0.8341,25798.73110241
2016-11-24,0.8472,0.81,0.81345,0.8122,0.8122,0.8147,90255.37999331
2016-11-25,0.815,0.72,0.76765,0.7642,0.7653,0.77,180944.72839987
2016-11-26,0.86,0.7613,0.837385,0.845,0.83227,0.8425,179943.93848432
2016-11-27,0.84,0.776,0.77875,0.7823,0.776,0.7815,21534.35006549
2016-11-28,0.79955,0.77238,0.77324,0.77248,0.77248,0.774,51123.76276011
2016-11-29,0.7814,0.75045,0.75545,0.7556,0.7534,0.7575,34874.70166727
2016-11-30,0.786,0.72,0.74575,0.7459,0.743,0.7485,83529.0139024
2016-12-01,0.76379,0.734,0.742135,0.7425,0.73987,0.7444,29259.99909526
2016-12-02,0.78896,0.73987,0.7648,0.76485,0.7646,0.765,38079.44059347
2016-12-03,0.814,0.731,0.802745,0.79987,0.79987,0.80562,107786.14170643
2016-12-04,0.80548,0.76079,0.767305,0.7686,0.76611,0.7685,39399.53960313
2016-12-05,0.78654,0.75001,0.765055,0.7675,0.76271,0.7674,60152.13032104
2016-12-06,0.85,0.75001,0.83419,0.8313,0.831,0.83738,162093.79979722
2016-12-07,0.8394,0.738,0.781455,0.78,0.78,0.78291,155948.91719001
2016-12-08,0.8379,0.76601,0.826195,0.825,0.825,0.82739,134234.5680965
2016-12-09,0.8316,0.80131,0.81717,0.81791,0.81491,0.81943,175255.50396823
2016-12-10,0.839,0.8,0.807805,0.80989,0.80701,0.8086,68899.7172161
2016-12-11,0.87,0.8015,0.857895,0.86098,0.85481,0.86098,60788.29743683
2016-12-12,0.962,0.8541,0.931715,0.92668,0.92803,0.9354,131194.87421645
2016-12-13,0.95959,0.89174,0.907805,0.9061,0.90611,0.9095,54284.53893408
2016-12-14,1.0056,0.9,0.976735,0.98569,0.97251,0.98096,294677.73436185
2016-12-15,0.995,0.95889,0.98665,0.98999,0.98331,0.98999,164963.78029687
2016-12-16,1.1099,0.9749,1.0836,1.0827,1.0792,1.088,368145.993569
2016-12-17,1.0921,1.0387,1.07315,1.0719,1.0719,1.0744,145199.19477071
2016-12-18,1.0719,0.9901,1.00585,1.0098,1.003,1.0087,204956.00435138
2016-12-19,1.0599,1.0038,1.05395,1.045,1.0506,1.0573,39465.15557221
2016-12-20,1.198,1.059,1.19245,1.1944,1.1906,1.1943,376347.9908361
2016-12-21,1.198,1.1301,1.1342,1.1324,1.1307,1.1377,197787.79625542
2016-12-22,1.1698,1.1147,1.12895,1.1299,1.128,1.1299,139454.76680596
2016-12-23,1.1499,1.0701,1.09715,1.0938,1.0938,1.1005,178302.46918651
2016-12-24,1.1054,1.0167,1.04745,1.0419,1.0412,1.0537,166859.09601276
2016-12-25,1.125,1.0301,1.10655,1.11,1.1031,1.11,78036.03379808
2016-12-26,1.123,1.0601,1.0714,1.0693,1.0684,1.0744,37605.92811181
2016-12-27,1.085,1.031,1.0397,1.0375,1.0365,1.0429,70312.98330234
2016-12-28,1.0729,1.035,1.0542,1.048,1.049,1.0594,61118.086295
2016-12-29,1.1299,1.0402,1.1163,1.1221,1.1122,1.1204,63701.61889705
2016-12-30,1.468,1.1114,1.4205,1.4277,1.4152,1.4258,511515.525232
2016-12-31,1.63,1.4171,1.5391,1.544,1.5342,1.544,584421.99792047
2017-01-01,1.567,1.3332,1.4156,1.41,1.4105,1.4207,199806.62182533
2017-01-02,1.5,1.3498,1.3935,1.3978,1.3899,1.3971,142077.71146779
2017-01-03,1.46,1.37,1.435,1.4324,1.4324,1.4376,100112.37914517
2017-01-04,1.5721,1.4012,1.46615,1.4768,1.4636,1.4687,231744.86928769
2017-01-05,1.76,1.4758,1.7198,1.72,1.7196,1.72,416758.34568944
2017-01-06,1.81,1.4,1.5878,1.586,1.581,1.5946,460426.51251304
2017-01-07,1.6199,1.4021,1.48645,1.4836,1.4821,1.4908,207914.14916972
2017-01-08,1.4909,1.2703,1.4323,1.433,1.4293,1.4353,259513.65407922
2017-01-09,1.4937,1.41,1.45515,1.4601,1.4523,1.458,93315.81062523
2017-01-10,1.4587,1.3851,1.40715,1.4081,1.4007,1.4136,37474.96840647
2017-01-11,1.4499,1.4051,1.42625,1.4389,1.4199,1.4326,14490.94134137
