Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-05-24,608.88,538.97,593.755,593.75,593.75,593.76,404937.83791188
2018-05-25,615.8,567.55,569.185,569.19,569.18,569.19,262418.4141408
2018-05-26,609.88,570.85,584.415,584.42,584.41,584.42,136444.69388977
2018-05-27,592.35,553.0,567.995,568.0,567.99,568.0,265274.20283041
2018-05-28,574.0,492.5,513.915,513.92,513.91,513.92,483694.61926136
2018-05-29,573.86,509.98,561.345,561.35,561.34,561.35,332375.66924663
2018-05-30,585.44,541.9,550.735,550.82,550.65,550.82,195362.15903621
2018-05-31,586.78,550.37,569.965,569.97,569.96,569.97,184543.24508973
2018-06-01,590.0,563.73,578.405,578.41,578.4,578.41,158785.4956421
2018-06-02,601.42,573.39,592.015,592.02,592.01,592.02,150462.50084572
2018-06-03,628.99,590.0,616.385,616.39,616.38,616.39,125459.64633908
2018-06-04,625.04,580.0,592.425,592.43,592.42,592.43,154976.92928753
2018-06-05,613.91,575.68855078,608.085,608.09,608.08,608.09,121397.98296007
2018-06-06,612.49,591.76,605.5,605.91,605.4,605.6,100277.46480369
2018-06-07,617.16,597.42,601.635,601.62,601.63,601.64,105946.86469963
2018-06-08,608.71,590.0,602.635,602.63,602.63,602.64,79011.33462515
2018-06-09,611.74,595.0,596.225,596.23,596.22,596.23,55337.8640423
2018-06-10,599.51,496.27,509.905,509.9,509.9,509.91,299147.30743526
2018-06-11,535.65,504.05,522.165,522.18,522.15,522.18,246787.10031331
2018-06-12,544.25,483.29,489.505,489.51,489.5,489.51,256671.64020453
2018-06-13,501.11,450.1,473.925,473.92,473.92,473.93,340693.28959644
2018-06-14,526.64,459.04,513.905,513.9,513.9,513.91,390155.9808621
2018-06-15,521.62,485.51,489.925,489.92,489.92,489.93,205036.25944066
2018-06-16,503.84,482.17,500.36,500.36,500.35,500.37,121815.19493837
2018-06-17,508.38,493.25,499.175,499.18,499.17,499.18,75195.55144094
2018-06-18,525.7,486.96,517.495,517.49,517.49,517.5,138000.67105189
2018-06-19,548.8,515.1,536.075,536.08,536.07,536.08,164535.57255113
2018-06-20,542.16,516.63,533.225,533.23,533.22,533.23,139186.5738139
2018-06-21,545.3,521.43,526.395,526.4,526.39,526.4,94767.9691623
2018-06-22,526.34,448.56,462.495,462.49,462.49,462.5,328187.46884963
2018-06-23,480.64,454.27,475.525,475.52,475.52,475.53,125711.09416628
2018-06-24,476.57,421.0,454.985,454.99,454.98,454.99,273521.01915605
2018-06-25,474.42,445.3,460.095,460.0,460.09,460.1,189047.27258101
2018-06-26,462.2,432.74,437.075,437.08,437.07,437.08,176078.05948754
2018-06-27,441.93,418.65,437.755,437.75,437.75,437.76,187412.03211404
2018-06-28,446.88,424.56,425.615,425.64,425.61,425.62,139659.32424013
2018-06-29,440.63,404.99,430.475,430.48,430.47,430.48,214607.24073182
2018-06-30,464.52,434.51,445.305,445.31,445.3,445.31,195932.44173401
2018-07-01,457.07,444.66,452.12,452.12,452.11,452.13,83863.99002488
2018-07-02,482.9,443.1,478.415,478.41,478.41,478.42,185756.39324394
2018-07-03,487.44,461.22739776,464.985,464.87,464.98,464.99,155727.96807796
2018-07-04,482.12,451.27,473.335,473.34,473.33,473.34,132298.03076828
2018-07-05,478.58,458.26327357,466.595,466.6,466.59,466.6,190742.89572475
2018-07-06,476.44,449.77,466.625,466.63,466.62,466.63,137807.91026427
2018-07-07,476.87,461.85,467.475,467.47,467.47,467.48,83477.89931063
2018-07-08,496.36,467.61,490.745,490.74,490.74,490.75,140580.81404416
